project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users,paths,snapshots,unique_files,original_files,impact,files,major_language,major_language_ratio,major_language_changes,all_forks_count,max_commit_delta,avg_commit_delta,first_commit,last_commit,is_abandoned,locs,duplicated_code,is_valid,max_experience,project_experience,authors_contributing_95%_commits,authors_contributing_80%_commits,authors_contributing_50%_commits,authors_contributing_95%_changes,authors_contributing_80%_changes,authors_contributing_50%_changes
801,SmallProjects,https://github.com/trentnsmith/william-setstatespear-thinkful.git,false,false,false,0,0,144,0,,,,0,1,JavaScript,25151654,true,true,true,false,1586263791,1586302760,1586302758,"master","","","",1,720,45,23,46,405,210,0,0,0,405,Other,0.9406130268199234,2455,183,2976433,2209604,66590345,41438691,true,558,0,true,11,6.543055555555555,17,5,2,11,4,2
802,SmallProjects,https://github.com/trijdia/my-first-blog.git,false,false,false,0,0,8504,0,,,,0,1,Python,25479194,true,true,true,false,1460888422,1460888647,1460905085,"master","","","",1,793,48,25,49,414,225,0,0,0,414,Other,0.9404040404040404,2793,183,2976433,2006354,66590344,41111150,true,446,0,true,11,6.34047919293821,19,7,2,13,4,2
806,SmallProjects,https://github.com/tsechrist/aireinforcementlearning.git,false,false,false,0,0,251,0,,,,0,1,Python,25480789,true,true,true,false,1580863544,1580868762,1580868759,"master","","","",1,796,48,25,49,415,228,0,0,0,415,Other,0.9398319327731093,2796,183,2976433,1998785,66590314,41109525,true,461,0,true,11,6.327889447236181,19,7,2,13,4,2
811,TypeScript,https://github.com/typestrong/ts-node.git,false,false,false,9070,9070,4588,89,,,,370,74,TypeScript,214566575,true,true,true,true,1436926372,1630140481,1629835571,"main","MIT License","https://typestrong.org/ts-node","TypeScript execution and REPL for node.js",67,1278,84,44,85,3773,905,0,0,0,3773,Other,0.9011309115832762,15777,188,12105029,1275461,215946805,1380230,false,296,0,true,11,6.81377151799687,29,8,2,6,2,1
814,SmallProjects,https://github.com/ugendarkyatham/oshop.git,false,false,false,0,0,691,8,,,,0,1,JavaScript,25547718,true,true,true,false,1587623644,1587623854,1628756256,"master","","","",9,804,48,25,49,416,229,0,0,0,416,Other,0.9416267942583733,2952,183,2976433,1978955,66590306,41042588,true,461,0,true,11,6.314676616915423,18,7,2,12,4,2
830,SmallProjects,https://github.com/vicscott/django.git,false,false,false,0,0,762,0,,,,0,1,Python,25549542,true,true,true,false,1577509225,1577513067,1577513064,"master","","","follow tango-with-django2",1,811,48,25,49,418,229,0,0,0,418,Other,0.9419231989844494,2968,183,2976433,1961856,66590279,41040737,true,461,0,true,11,6.355117139334156,18,7,2,12,4,2
831,SmallProjects,https://github.com/viewfinderco/viewfinder.git,false,false,false,1786,1786,117910,4,,,,545,180,Python,25549528,true,true,true,false,1398704513,1627656424,1537210591,"master","Apache License 2.0","","Viewfinder client and server code",1,811,48,25,49,418,229,0,0,0,418,Other,0.9419231989844494,2968,183,2976433,1961856,66590282,41040754,true,461,0,true,11,6.355117139334156,18,7,2,12,4,2
836,SmallProjects,https://github.com/violetach/coursera-module4.git,false,false,false,0,0,2,0,,,,0,1,JavaScript,25549638,true,true,true,true,1588539007,1588540355,1588540353,"master","","","module4-solution",1,814,48,25,49,418,229,0,0,0,418,Other,0.9420152091254753,2973,183,2976433,1954616,66590267,41040629,true,461,0,true,11,6.372235872235872,18,7,2,12,4,2
840,SmallProjects,https://github.com/vnekhay/ls.git,false,false,false,0,0,36,0,,,,0,0,C,25583854,true,true,true,false,1530936714,1539654044,1539653557,"master","","","My implementation of the Unix command - ls on C language",1,840,48,25,49,443,230,0,0,0,443,Other,0.9426810477657935,3059,183,2976433,1894085,66590260,41006406,true,447,0,true,11,6.4869047619047615,18,6,2,12,4,2
845,SmallProjects,https://github.com/wdev007/modulo01-conceitos-nodejs.git,false,false,false,0,0,532,6,,,,0,1,JavaScript,25635283,true,true,true,false,1588357141,1588360995,1628759933,"master","","","Desafio do Modulo 01 do BootCamp GoStack, conceitos iniciais do nodejs com express",7,851,48,25,49,444,230,0,0,0,444,Other,0.9434134469120778,3101,183,2976433,1869634,66590245,40954962,true,447,0,true,11,6.5358401880141015,18,6,2,12,4,2
851,SmallProjects,https://github.com/wepe/o2o-coupon-usage-forecast.git,false,false,false,1328,1328,1338,8,,,,842,66,Python,25663778,true,true,true,false,1482758660,1629599307,1520489205,"master","","","1st Place Solution for O2O Coupon Usage Forecast",1,857,48,25,49,445,235,0,0,0,445,Other,0.9420861127956337,3107,183,2976433,1856562,66590227,40926449,true,462,0,true,11,6.5484247374562425,18,6,2,12,4,2
852,SmallProjects,https://github.com/wh0ale/src-experience.git,false,false,false,985,985,52194,0,,,,279,37,Python,25667224,true,true,true,false,1551514619,1629189837,1551516460,"master","","","工欲善其事，必先利其器",1,866,48,25,49,446,242,0,0,0,446,Other,0.9405552202776102,3117,183,2976433,1837249,66590227,40923003,true,477,0,true,11,6.594688221709007,18,6,2,12,4,2
857,SmallProjects,https://github.com/winfrid61/simple-todos.git,false,false,false,0,0,20,0,,,,0,1,JavaScript,25715450,true,true,true,false,1587708609,1587721344,1587721341,"master","","","",1,871,49,25,50,446,242,0,0,0,446,Other,0.940644772521844,3122,183,2976433,1826746,66590215,40874765,true,477,0,true,11,6.609644087256028,18,6,2,12,4,2
864,TypeScript,https://github.com/booster-labs/rocket-booster.git,false,false,false,1439,1439,3167,11,,,,516,23,TypeScript,62876722,true,true,true,false,1504971721,1630074808,1629968102,"master","MIT License","https://booster.js.org","🚀 Lightweight and scalable reverse proxy and load balancing library built for Cloudflare Workers.",2,1035,66,27,67,471,259,0,0,0,471,Other,0.9447911665866539,3936,183,2987276,1572950,66590148,3713426,true,477,0,true,11,6.58743961352657,24,7,2,13,4,2
868,SmallProjects,https://github.com/xuluchen/todo.git,false,false,false,0,0,48,0,,,,0,0,Python,26154919,true,true,true,false,1475915843,1475916617,1475924552,"master","","","",1,892,49,25,50,449,246,0,0,0,449,Other,0.9426299346776484,3319,183,2976433,1784184,66590136,40435217,true,478,0,true,11,6.612107623318385,18,6,2,11,4,2
870,SmallProjects,https://github.com/yangjiandong/filmaster.git,false,false,false,4,4,9548,0,,,,1,2,Python,26163021,true,true,true,false,1338111184,1622124327,1338111493,"master","","","django demo app 's filmaster",1,894,49,25,50,449,246,0,0,0,449,Other,0.9426625035481124,3321,183,2976433,1780198,66590132,40427111,true,478,0,true,11,6.621923937360179,18,6,2,11,4,2
872,SmallProjects,https://github.com/yaty/todolist-archi.git,false,false,false,0,0,323,5,,,,0,2,JavaScript,27891670,true,true,true,false,1587503006,1587503136,1628755615,"master","","","",6,919,49,25,50,461,247,0,0,0,461,Other,0.9442460862400439,3438,183,2976433,1733600,66590130,38698460,true,478,0,true,11,6.670293797606093,18,6,2,11,5,2
876,SmallProjects,https://github.com/yosefda/tekmo.git,false,false,false,0,0,1505,5,,,,0,1,JavaScript,30301117,true,true,true,false,1575628417,1575628637,1622912228,"master","Apache License 2.0","","",6,955,51,26,52,462,252,0,0,0,462,Other,0.9458088627869727,3543,183,2976433,1670707,66590119,36289002,true,466,0,true,11,6.728795811518324,18,6,2,12,5,2
877,SmallProjects,https://github.com/younameit01/hyf-homework-nodejs-3.git,false,false,false,0,0,239,1,,,,0,1,JavaScript,31527939,true,true,true,false,1584817025,1584817033,1584817029,"master","","https://lab.github.com/M3kH/create-rest-server-with-nodejs-and-express","",5,963,52,26,53,464,252,0,0,0,464,Other,0.9460106382978724,3557,183,2976433,1658089,66590119,35062180,true,468,0,true,11,6.717549325025961,19,6,2,12,5,2
879,SmallProjects,https://github.com/yulongkelly/academic-anonymous.git,false,false,false,0,0,240,0,,,,0,1,JavaScript,33420325,true,true,true,false,1581862781,1581863528,1581863526,"master","","","",1,965,53,26,54,464,252,0,0,0,464,Other,0.9460393407761829,3559,183,2976433,1656612,66590116,33169791,true,468,0,true,11,6.7139896373056995,19,6,2,12,5,2
882,SmallProjects,https://github.com/zatorck/przyklady-vue-kurs.git,false,false,false,0,0,383,0,,,,0,1,JavaScript,39470252,true,true,true,false,1586721127,1611788102,1611788147,"master","","","https://www.udemy.com/course/vuejs-tworzenie-aplikacji-webowych/",1,974,56,26,57,465,252,0,0,0,465,Other,0.9461823966065748,3569,183,2976433,1647506,66590108,27119856,true,468,0,true,11,6.676591375770021,20,6,2,12,5,2
884,SmallProjects,https://github.com/zck119/3dgan-release.git,false,false,false,752,752,15,2,,,,190,48,Python,40947506,true,true,true,false,1481601250,1629744256,1508619218,"master","","http://3dgan.csail.mit.edu","3D Generative Adversarial Network",1,978,58,26,59,465,252,0,0,0,465,Other,0.9462536404553878,3574,183,2976433,1642273,66590106,25642600,true,468,0,true,11,6.674846625766871,21,6,2,12,5,2
886,SmallProjects,https://github.com/zemuncity/merge-conflicts-suck.git,false,false,false,0,0,0,0,,,,0,1,JavaScript,41003000,true,true,true,false,1587971717,1587973305,1587973303,"master","","","",1,979,58,26,59,465,252,0,0,0,465,Other,0.9462678665960825,3575,183,2976433,1640651,66590105,25587105,true,468,0,true,11,6.674157303370786,21,6,2,12,5,2
889,SmallProjects,https://github.com/zhuinfo/django-erp.git,false,false,false,976,976,1299,27,,,,706,101,Python,51053628,true,true,true,false,1438232363,1629008714,1615558045,"master","","","Django-ERP是一款基于Django开发的ERP管理软件，包含常用的销售管理、采购管理、库存管理、组织管理等，支持按项目归集费用，支持工作流审批，支持采购单、报价单的批量导入。",1,987,62,26,63,465,252,0,0,0,465,Other,0.9464238585378728,3586,183,2987276,1637533,66590078,15536450,true,468,0,true,11,6.642350557244174,22,7,2,12,5,2
891,SmallProjects,https://github.com/zictcian/angularcs.git,false,false,false,0,0,2105,0,,,,0,1,JavaScript,51557033,true,true,true,false,1584982095,1584985956,1584985954,"master","","","",1,989,63,26,64,465,252,0,0,0,465,Other,0.946452123450277,3588,183,2987276,1634727,66590076,15033043,true,468,0,true,11,6.633973710819009,23,7,2,12,5,2
